# CD40 arrayed expansion data: Fig 4D
Measurement type - cells/fold expansion,Measurement Day,Domain Name,Donor Name,Measurement value
expansion,6,CD30,2,2.34375
expansion,9,CD30,2,3.96875
expansion,12,CD30,2,9.015625
expansion,15,CD30,2,2.421875
expansion,18,CD30,2,2.5
expansion,21,CD30,2,1.3359375
expansion,24,CD30,2,1.28125
expansion,27,CD30,2,1.04375
cells,3,zeta,1,18800000
cells,6,zeta,1,7670000
cells,9,zeta,1,14300000
cells,12,zeta,1,1.3e+07
cells,15,zeta,1,10400000
cells,18,zeta,1,9280000
cells,21,zeta,1,8530000
cells,24,zeta,1,12700000
cells,27,zeta,1,7610000
expansion,3,zeta,1,1
expansion,6,zeta,1,0.407978723
expansion,9,zeta,1,0.760638298
expansion,12,zeta,1,0.691489362
expansion,15,zeta,1,0.553191489
expansion,18,zeta,1,0.493617021
expansion,21,zeta,1,0.453723404
expansion,24,zeta,1,0.675531915
expansion,27,zeta,1,0.404787234
cells,3,zeta,2,18800000
cells,6,zeta,2,7670000
cells,9,zeta,2,14300000
cells,12,zeta,2,1.3e+07
cells,15,zeta,2,10400000
cells,18,zeta,2,9280000
cells,21,zeta,2,8530000
cells,24,zeta,2,12700000
cells,27,zeta,2,7610000
expansion,3,zeta,2,1
expansion,6,zeta,2,1.553191489
expansion,9,zeta,2,3
expansion,12,zeta,2,4.712765957
expansion,15,zeta,2,2.265957447
expansion,18,zeta,2,2.521276596
expansion,21,zeta,2,2.340425532
expansion,24,zeta,2,3.867021277
expansion,27,zeta,2,4.494680851
